chunk_id,source_id,source_file,source_type,title,category,product,component,risk_level,content,allowed_for_ai
chunk-00011,kb-0011,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Configuração de SSH sem senha em cluster Nutanix — KB-[PHONE_MASKED],KBs Internos,Nutanix,,high,Configuração de SSH sem senha em cluster Nutanix — KB-[PHONE_MASKED] | KBs Internos | Nutanix |  | Autor: Marcos Martins | ID: [PHONE_MASKED] | Título: Configuração de SSH sem senha em cluster Nutanix — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Draft | Data de criação: 2026-05-18 11:46:31 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-18 11:46:43 | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-05-26 12:44:11,true
chunk-00012,kb-0012,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,LCM Connectivity Issue — KB-[PHONE_MASKED],KBs Internos,Nutanix,LCM,low,LCM Connectivity Issue — KB-[PHONE_MASKED] | KBs Internos | Nutanix | LCM | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: LCM Connectivity Issue — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2025-07-24 17:39:23 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-18 09:28:37 | Criado a partir do problema: FALSE | Last Updated: 2026-05-18 09:28:37,true
chunk-00013,kb-0013,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Migrar OVS bridge br0 de um Virtual Switch no Nutanix — KB-[PHONE_MASKED],KBs Internos,Nutanix,,low,Migrar OVS bridge br0 de um Virtual Switch no Nutanix — KB-[PHONE_MASKED] | KBs Internos | Nutanix |  | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Migrar OVS bridge br0 de um Virtual Switch no Nutanix — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2025-07-24 17:42:10 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-04-29 10:11:50 | Criado a partir do problema: FALSE | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-04-29 10:11:50,true
chunk-00014,kb-0014,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Apagar Orphan Snapshot — KB-[PHONE_MASKED],KBs Internos,Nutanix,,low,Apagar Orphan Snapshot — KB-[PHONE_MASKED] | KBs Internos | Nutanix |  | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Apagar Orphan Snapshot — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2025-07-25 10:55:05 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-04 10:48:38 | Criado a partir do problema: FALSE | Ticket associado ID: [TICKET_ID_MASKED] | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-05-04 10:48:38,true
chunk-00015,kb-0015,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Mudar Todas as Senhas SSH em um Cluster Nutanix — KB-[PHONE_MASKED],KBs Internos,Nutanix,,high,Mudar Todas as Senhas SSH em um Cluster Nutanix — KB-[PHONE_MASKED] | KBs Internos | Nutanix |  | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Mudar Todas as Senhas SSH em um Cluster Nutanix — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2025-07-25 12:27:43 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-04-29 10:13:24 | Criado a partir do problema: FALSE | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-04-29 10:13:24,true
chunk-00016,kb-0016,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Criação do Cluster NKP no Nutanix — Passo a passo com explicações — KB-[PHONE_MASKED],KBs Internos,Nutanix,NKP,high,Criação do Cluster NKP no Nutanix — Passo a passo com explicações — KB-[PHONE_MASKED] | KBs Internos | Nutanix | NKP | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Criação do Cluster NKP no Nutanix — Passo a passo com explicações — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2025-08-07 10:43:04 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-04-29 10:08:10 | Criado a partir do problema: FALSE | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-04-29 10:08:10,true
chunk-00017,kb-0017,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Troubleshoot de Falhas Intermitentes na API e Erro 'Certificate has Expired' no NKP — KB-[PHONE_MASKED],KBs Internos,Nutanix,NKP,medium,Troubleshoot de Falhas Intermitentes na API e Erro 'Certificate has Expired' no NKP — KB-[PHONE_MASKED] | KBs Internos | Nutanix | NKP | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Troubleshoot de Falhas Intermitentes na API e Erro 'Certificate has Expired' no NKP — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Draft | Data de criação: 2026-05-14 11:48:45 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-21 18:19:55 | Criado a partir do problema: FALSE | Last Updated: 2026-05-21 18:19:55,true
chunk-00018,kb-0018,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Renovação e Atualização de Certificados do Control Plane no NKP — KB-[PHONE_MASKED],KBs Internos,Nutanix,NKP,low,Renovação e Atualização de Certificados do Control Plane no NKP — KB-[PHONE_MASKED] | KBs Internos | Nutanix | NKP | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Renovação e Atualização de Certificados do Control Plane no NKP — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-14 12:05:36 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-14 12:21:25 | Criado a partir do problema: FALSE | Last Updated: 2026-05-14 12:21:25,true
chunk-00019,kb-0019,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Tasks Travadas (Stuck Tasks) no Nutanix — KB-[PHONE_MASKED],KBs Internos,Nutanix,,low,Tasks Travadas (Stuck Tasks) no Nutanix — KB-[PHONE_MASKED] | KBs Internos | Nutanix |  | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Tasks Travadas (Stuck Tasks) no Nutanix — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-19 15:12:29 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-19 15:31:03 | Criado a partir do problema: FALSE | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-05-19 15:31:03,true
chunk-00020,kb-0020,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Tasks Travadas (Stuck Tasks) no Nutanix — KB-[PHONE_MASKED],KBs Internos,Nutanix,,low,Tasks Travadas (Stuck Tasks) no Nutanix — KB-[PHONE_MASKED] | KBs Internos | Nutanix |  | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Tasks Travadas (Stuck Tasks) no Nutanix — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-19 15:12:29 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-19 15:31:03 | Criado a partir do problema: FALSE | Criado por Freddy: Kaike Maciel | Last Updated: 2026-05-19 15:31:03,true
chunk-00021,kb-0021,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED],KBs Internos,Nutanix,Prism,high,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED] | KBs Internos | Nutanix | Prism | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-20 17:34:45 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-21 17:09:46 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-05-21 17:09:46,true
chunk-00022,kb-0022,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED],KBs Internos,Nutanix,Prism,high,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED] | KBs Internos | Nutanix | Prism | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-20 17:34:45 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-21 17:09:46 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Criado por Freddy: Ana Paula Costa | Last Updated: 2026-05-21 17:09:46,true
chunk-00023,kb-0023,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED],KBs Internos,Nutanix,Prism,high,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED] | KBs Internos | Nutanix | Prism | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-20 17:34:45 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-21 17:09:46 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Criado por Freddy: Kaike Maciel | Last Updated: 2026-05-21 17:09:46,true
chunk-00024,kb-0024,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Remover Cluster da Blacklist para Registro no Prism Central - KB-[PHONE_MASKED],KBs Internos,Nutanix,Prism,high,Remover Cluster da Blacklist para Registro no Prism Central - KB-[PHONE_MASKED] | KBs Internos | Nutanix | Prism | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Remover Cluster da Blacklist para Registro no Prism Central - KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-26 17:20:15 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-26 17:23:09 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-05-26 17:23:09,true
chunk-00025,kb-0025,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,"""Procedimento de Recuperação Completa de Nó: [HOST_MASKED]",2026-05-26 17:45:04,Nutanix,CVM,low,"""Procedimento de Recuperação Completa de Nó: [HOST_MASKED] | 2026-05-26 17:45:04 | Nutanix | CVM | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: ""Procedimento de Recuperação Completa de Nó: [HOST_MASKED] | Tipo: CVM Ring e Metadata Store"" | Status: Permanent | Data de criação: Draft | Categoria: 2026-05-26 17:45:04 | Pasta: KBs Internos | Data modificada: Nutanix | Data de revisão: 2026-05-26 17:45:04 | Viewed by Name: FALSE | None: ['2026-05-26 17:45:04']",true
chunk-00026,kb-0026,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Troubleshooting Prometheus Pod CrashLoop on PC 2024.x (CMSP WAL Corruption) - KB-[PHONE_MASKED],KBs Internos,Nutanix,,high,Troubleshooting Prometheus Pod CrashLoop on PC 2024.x (CMSP WAL Corruption) - KB-[PHONE_MASKED] | KBs Internos | Nutanix |  | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Troubleshooting Prometheus Pod CrashLoop on PC 2024.x (CMSP WAL Corruption) - KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-06-01 12:07:04 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-06-01 12:07:52 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Last Updated: 2026-06-01 12:07:52,true
chunk-00027,kb-0027,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Resolving 'Unhealthy' ClusterWorkflow Status Post-Service Recovery via mspctl — KB-[PHONE_MASKED],KBs Internos,Nutanix,,high,Resolving 'Unhealthy' ClusterWorkflow Status Post-Service Recovery via mspctl — KB-[PHONE_MASKED] | KBs Internos | Nutanix |  | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Resolving 'Unhealthy' ClusterWorkflow Status Post-Service Recovery via mspctl — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-06-01 12:12:01 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-06-01 12:12:41 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Last Updated: 2026-06-01 12:12:41,true
chunk-00028,kb-0028,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Restabelecimento do Módulo de Infraestrutura (pc.[IP_MASKED]) - KB-[PHONE_MASKED],KBs Internos,Nutanix,,low,Restabelecimento do Módulo de Infraestrutura (pc.[IP_MASKED]) - KB-[PHONE_MASKED] | KBs Internos | Nutanix |  | Autor: Beatriz Gadelha | ID: [PHONE_MASKED] | Título: Restabelecimento do Módulo de Infraestrutura (pc.[IP_MASKED]) - KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-06-15 09:42:50 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-06-15 09:43:43 | Criado a partir do problema: FALSE | Status da Aprovação: Approved | Ticket associado ID: [TICKET_ID_MASKED] | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-06-15 09:43:43,true
chunk-00029,ticket-0001,Massa_de_dados_exportada_Maio__Abertos.csv,ticket_history,[CMM] Acesso Semanal,Nutanix,Nutanix,LCM,low,[CMM] Acesso Semanal | Check semanal ambiente CMM. |  | Nutanix | LCM (Lifecycle Manager),true
chunk-00030,ticket-0002,Massa_de_dados_exportada_Maio__Abertos.csv,ticket_history,[CLEARIT] Bloquieo de rede - AGENT SENTINEL,Sentinel One,,,low,[CLEARIT] Bloquieo de rede - AGENT SENTINEL | Bloqueio de rede pelo agent após intalação de programa não homologado. | Foi constatado que o bloqueio se trata de uma atividade não maliciosa. Foi dado como Falso positivo e não maligno. | Sentinel One | Agent (Clients),true
chunk-00031,ticket-0003,Massa_de_dados_exportada_Maio__Abertos.csv,ticket_history,[CLEARIT] teste KB,Outros,,,low,[CLEARIT] teste KB | TESTES | teste | Outros | Outros,true
chunk-00032,ticket-0004,Massa_de_dados_exportada_Maio__Abertos.csv,ticket_history,[CLEARIT] Novo teste snapshot orphan,Outros,,,low,[CLEARIT] Novo teste snapshot orphan | testes | testes | Outros | Outros,true
chunk-00033,ticket-0005,Massa_de_dados_exportada_Maio__Abertos.csv,ticket_history,[CLEARIT] teste snapshot orphan,Outros,,,low,[CLEARIT] teste snapshot orphan | teste | teste | Outros | Outros,true
chunk-00034,ticket-0006,Massa_de_dados_exportada_Maio__Abertos.csv,ticket_history,[CLEARIT] Adição de Login via Entra ID no Prism Central Lab,Nutanix,Nutanix,Prism,low,[CLEARIT] Adição de Login via Entra ID no Prism Central Lab | Boa tarde Bruno. Solicito a configuração de login via entra id em nosso lab Nutanix no intuito de realizar automações de nuvem Nutanix junto ao lab. Att. | Realizada a configuração e o login via SAML funcionou corretamente. | Nutanix | Prism (Management),true
chunk-00035,ticket-0007,Massa_de_dados_exportada_Maio__Abertos.csv,ticket_history,[CLEARIT] Criação de grupo de email,Outros,,,low,"[CLEARIT] Criação de grupo de email | Ola, boa tarde. Gostaria de solicitar a criação do grupo de email [EMAIL_MASKED] e incluir ""Samuel dos Santos de Lima Moreira"" <[EMAIL_MASKED]> e eu. Obrigada! | Grupo criado de acordo com a solicitação. | Outros | Outros",true
chunk-00036,ticket-0008,Massa_de_dados_exportada_Maio__Abertos.csv,ticket_history,[PMPV] Problemas no NKP,Nutanix,Nutanix,AOS,high,"[PMPV] Problemas no NKP | Prezados, boa tarde! Gostaríamos de um apoio no NKP referente ao nosso cluster, aparentemente estamos com problemas no armazenamento de arquivos. Por favor se puderem entrar em contato com o Analista Hugo tel : 69: [PHONE_MASKED]. | Sintoma Relatado:Indisponibilidade da interface do Kommander/NKP, apresentando a mensagem de erro ""certificate has expired"". O painel exibia status de erro na comunicação e métricas de CPU e Memória como ""N/A"" para o cluster. Falhas intermitentes na execução de comandos via kubectl. Causa Raiz:Os certificados internos do Kubernetes (gerenciados pelo kubeadm, incluindo apiserver e etcd) haviam expirado no nó do Control Plane (nkp-pmpv-k27v7-lwzsq). Como o tráfego do Control Plane é balanceado por um IP VIP, a indisponibilidade ocorria de forma intermitente quando as requisições eram direcionadas para o nó com o certificado inválido. A expiração ocorreu pois o cluster estava operando há mais de um ano sem renovação automática (comportamento padrão em versões anteriores ao NKP 2.16). Ações Realizadas: Verificação inicial dos certificados de frontend (Traefik/Ingress) e pods do cert-manager via kubectl, que se encontravam saudáveis. Como o acesso SSH direto não estava disponível inicialmente, o diagnóstico foi feito utilizando pods efêmeros (kubectl debug node com chroot /host), confirmando a expiração interna via comando kubeadm certs check-expiration. Após obtenção do acesso SSH aos nós do Control Plane, foi executado o procedimento oficial da Nutanix (KB-19301) para renovação dos certificados (sudo kubeadm certs renew all). Removida e recriada a annotation machine.cluster.x-k8s.io/certificates-expiry no objeto kubeadmconfig a partir do Management Cluster para que o Cluster API (CAPI) reconhecesse as novas datas de validade (2027). Validação e Resultados: A interface UI do Kommander voltou a operar normalmente (Status: Active). Comunicação com o API Server do Kubernetes 100% restabelecida e sem erros de TLS. Data de expiração dos certificados dos nós confirmada para o ano de 2027. Recomendação:Para evitar reincidência anual, recomenda-se o planejamento da atualização do cluster para a versão NKP 2.16 (ou superior), na qual a renovação de certificados do Control Plane passa a ser tratada de forma automática pelo Cluster API. | Nutanix | AOS",true
chunk-00037,ticket-0009,Massa_de_dados_exportada_Maio__Abertos.csv,ticket_history,[CMM] Atacks ao email e ao firewall,Fortinet,,,high,"[CMM] Atacks ao email e ao firewall | Estamos sofrendo atacks desde as 8h da manhã. Entramos em contato com Guilherme e, até o momento, não tivemos resposta, sobre o que fazer, mas recebeu a informação! | Olá Joney, Acessamos o ambiente e tratamos do caso com Local-in-Policy e regras de Deny WAN to LAN O acesso ao servidor Windows foi constatado como ataque interno, uma vez que o trafego nao passou em momento algum pelo firewall. Hoje trataremos em um outro chamado das regras de seu ambiente para reavaliar medidas de segurança e talvez isolar estes servers em outra sub-rede Atenciosamente, | Fortinet | Fortigate",true
